filterName,filterEntryName,applyToFrag,arpOpc,stateful,etherT,prot,sFromPort,sToPort,dFromPort,dToPort
LNX_MGMT,SSH,no,unspecified,no,ip,tcp,unspecified,unspecified,22,22
LNX_MGMT,SYSLOG,no,unspecified,no,ip,udp,unspecified,unspecified,514,514
GEN_NET_SVC,NTP,no,unspecified,no,ip,udp,unspecified,unspecified,123,123
GEN_NET_SVC,DNS,no,unspecified,no,ip,udp,unspecified,unspecified,53,53
GEN_NET_SVC,DHCP,no,unspecified,no,ip,udp,68,68,67,67
MONITORING,SNMP,no,unspecified,no,ip,udp,unspecified,unspecified,161,161
MONITORING,SNMP_TRAP,no,unspecified,no,ip,udp,unspecified,unspecified,162,162
HTTP_HTTPS,HTTP,no,unspecified,no,ip,tcp,unspecified,unspecified,80,80
HTTP_HTTPS,HTTPS,no,unspecified,no,ip,tcp,unspecified,unspecified,443,443
DB_ACCESS,MYSQL,no,unspecified,no,ip,tcp,unspecified,unspecified,3306,3306
